City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,Saint-Joseph,-21.3667,55.6167,23.21,76,23,5.12,RE,1683414231
328,Houghton,47.1219,-88.569,8.71,93,100,7.2,US,1683414231
329,Wynyard,-41.0,145.7167,6.66,62,0,2.36,AU,1683414231
330,Linxia Chengguanzhen,35.6003,103.2064,6.99,81,100,3.14,CN,1683414231
331,Uglich,57.5275,38.3317,-2.26,72,11,3.1,RU,1683414231
332,Barcelos,41.5388,-8.6151,17.14,97,85,2.2,PT,1683414009
333,Yuzhno-Kurilsk,44.0306,145.8556,4.25,68,91,1.8,RU,1683414216
334,Shar'ya,58.3686,45.5144,-0.37,72,72,4.58,RU,1683414232
335,Cockburn Town,21.4612,-71.1419,26.4,77,18,7.89,TC,1683414232
336,Kokstad,-30.5472,29.4241,12.44,91,97,2.02,ZA,1683414232
337,Xichang,27.8964,102.2634,16.78,68,66,0.75,CN,1683414232
338,Urangan,-25.3,152.9,20.43,66,97,3.53,AU,1683414229
339,Sinabang,2.4803,96.3801,26.68,82,100,7.22,ID,1683414223
340,Kasongo-Lunda,-6.4667,16.8167,22.04,93,80,0.24,CD,1683414137
341,Dibba Al-Hisn,25.6196,56.2729,24.1,43,0,0.51,AE,1683414232
342,Chernyshevskiy,63.0128,112.4714,-2.75,85,100,4.5,RU,1683414232
343,Arawa,-6.2132,155.5367,29.88,72,23,1.95,PG,1683414232
344,Tadine,-21.55,167.8833,26.13,74,39,4.36,NC,1683414232
345,Fort Bragg,35.139,-79.006,26.08,40,40,4.12,US,1683414112
346,Paita,-5.0892,-81.1144,25.29,77,28,5.7,PE,1683414220
347,Lensk,60.7253,114.9278,0.95,92,100,6.53,RU,1683413969
